date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:26:29	6912/6912	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Sep%202021%2016:28:16%20GMT	https://semana-fresh-final.webflow.io/	C:/My%20Web%20Sites/my%20website%20bruh/semana-fresh-final.webflow.io/index.html	(from )
13:26:29	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Wed,%2022%20Sep%202021%2016:28:16%20GMT	https://semana-fresh-final.webflow.io/robots.txt		(from )
13:26:30	78323/78323	---M-Z	200	added ('OK')	text/css	etag:%22756abfe18a355992620f752bc209ad83%22	https://uploads-ssl.webflow.com/614b3f406f079a46e920dadd/css/semana-fresh-final.webflow.1569b384c.css	C:/My%20Web%20Sites/my%20website%20bruh/uploads-ssl.webflow.com/614b3f406f079a46e920dadd/css/semana-fresh-final.webflow.1569b384c.css	(from https://semana-fresh-final.webflow.io/)
13:26:30	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/my%20website%20bruh/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://semana-fresh-final.webflow.io/)
13:26:30	3126/3126	---M--	200	added ('OK')	image/png	etag:%22a692f359c87acd5d305a473a6b5939db%22	https://uploads-ssl.webflow.com/614b3f406f079a46e920dadd/614b56162ef4d77777749272_favicon-32x32.png	C:/My%20Web%20Sites/my%20website%20bruh/uploads-ssl.webflow.com/614b3f406f079a46e920dadd/614b56162ef4d77777749272_favicon-32x32.png	(from https://semana-fresh-final.webflow.io/)
13:26:31	3290/3290	---M--	200	added ('OK')	image/png	etag:%225d19a6dc030c169dc83ff100058d12a5%22	https://uploads-ssl.webflow.com/img/webclip.png	C:/My%20Web%20Sites/my%20website%20bruh/uploads-ssl.webflow.com/img/webclip.png	(from https://semana-fresh-final.webflow.io/)
13:26:32	1637845/1637845	---M--	200	added ('OK')	image/jpeg	etag:%2289a45d4a924da80fff8c742319ac51af%22	https://uploads-ssl.webflow.com/614b3f406f079a46e920dadd/614b4182964c66259343226d_Fruit%20Expo%202.jpg	C:/My%20Web%20Sites/my%20website%20bruh/uploads-ssl.webflow.com/614b3f406f079a46e920dadd/614b4182964c66259343226d_Fruit%20Expo%202.jpg	(from https://semana-fresh-final.webflow.io/)
13:26:32	2718/2718	---M--	200	added ('OK')	image/png	etag:%2284207fc6d78ed499acd248a81e26d448%22	https://uploads-ssl.webflow.com/614b3f406f079a46e920dadd/614b514264cb2c6d8473c1c0_descarga.png	C:/My%20Web%20Sites/my%20website%20bruh/uploads-ssl.webflow.com/614b3f406f079a46e920dadd/614b514264cb2c6d8473c1c0_descarga.png	(from https://semana-fresh-final.webflow.io/)
13:26:33	10294/10294	---M--	200	added ('OK')	image/png	etag:%227bede7592b93410d246cd25b57515849%22	https://uploads-ssl.webflow.com/614b3f406f079a46e920dadd/614b51b820f00015d413fff9_png-clipart-whatsapp-computer-icons-viber-text-logo.png	C:/My%20Web%20Sites/my%20website%20bruh/uploads-ssl.webflow.com/614b3f406f079a46e920dadd/614b51b820f00015d413fff9_png-clipart-whatsapp-computer-icons-viber-text-logo.png	(from https://semana-fresh-final.webflow.io/)
13:26:33	1367747/1367747	---M--	200	added ('OK')	image/jpeg	etag:%22ebc29556dd61667b25c56c3c4131f410%22	https://uploads-ssl.webflow.com/614b3f406f079a46e920dadd/614b4283380a0f617be128fa_FotoB.jpg	C:/My%20Web%20Sites/my%20website%20bruh/uploads-ssl.webflow.com/614b3f406f079a46e920dadd/614b4283380a0f617be128fa_FotoB.jpg	(from https://semana-fresh-final.webflow.io/)
13:26:34	52001/52001	---M-Z	200	added ('OK')	text/javascript	etag:%22d3ec1d67729dbbc8a2cf65b02667e786%22	https://uploads-ssl.webflow.com/614b3f406f079a46e920dadd/js/webflow.70edf94ef.js	C:/My%20Web%20Sites/my%20website%20bruh/uploads-ssl.webflow.com/614b3f406f079a46e920dadd/js/webflow.70edf94ef.js	(from https://semana-fresh-final.webflow.io/)
13:26:34	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=614b3f406f079a46e920dadd	C:/My%20Web%20Sites/my%20website%20bruh/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c82db4.js	(from https://semana-fresh-final.webflow.io/)
13:26:34	1265615/1265615	---M--	200	added ('OK')	image/jpeg	etag:%227ec3965c1bfb1f1fb4a4151cb096e3fe%22	https://uploads-ssl.webflow.com/614b3f406f079a46e920dadd/614b3f62afbd9772e04c2999_WhatsApp%20Image%202021-09-21%20at%2016.03.41.jpg	C:/My%20Web%20Sites/my%20website%20bruh/uploads-ssl.webflow.com/614b3f406f079a46e920dadd/614b3f62afbd9772e04c2999_WhatsApp%20Image%202021-09-21%20at%2016.03.41.jpg	(from https://uploads-ssl.webflow.com/614b3f406f079a46e920dadd/css/semana-fresh-final.webflow.1569b384c.css)
